Entidad federativa,,Extensión arrecifes (Km2),
Pacífico Norte,,,
Baja California Sur,,95,
Baja California Norte,,,
Sonora,,,
Sinaloa,,,
Nayarit,,1.3,
,,,
Pacífico Centro,,,
Jalisco,,0.78,
Colima,,,
Michoacan,,,
Guerrero,,,
Oaxaca,,0.459,
Chiapas,,,
,,,
Golfo de México y Caribe,,,
Tamaulipas,,,
Veracruz,,520,
Tabasco,,,
Campeche,,7.15,
Yucatán,,252.28,
Quintana Roo,,4.88,
,,,
"INEGI, 2015. Catálogo de Territorio Insular Mexicano.",,,
"Juárez-Hernandez, Tapia-García, 2017. Varciación espacial en números de especies, abundancia y diversidad de peces en las bahías de Huatulco, Oaxaca, México.",,,
