,1991,1994,,,,,,,,
Endomychura hypolueuca,A,,,,,,,,,
Endonychura Craveri,Pr,,,,,,,,,
Ptychoramphus  aleuticus  australis,Pr,Pr,,,,,,,,
Aramus guarauna ,A,A,,,,,,,,
Charadrius  collaris ,R,Pr,,,,,,,,
Charadrius  montanus ,,A,,,,,,,,
Charadrius  melodus ,A,A,,,,,,,,
Diomedea immutabilis ,,A,,,,,,,,
Oceanodroma  homochroa ,A,A,,,,,,,,
Oceanodroma  melania ,A,A,,,,,,,,
Oceanodroma  macrodactyla ,,P,,,,,,,,
Oceanodroma  microsoma ,A,A,,,,,,,,
Oncorhynchus mykiss,,Pr,,,,,,,,
Gelochelidon nilotica ,Pr,,,,,,,,,
Larus  heermanni ,A,A,,,,,,,,
Larus  livens ,A,,,,,,,,,
Sternula antillarum browni,P,,,,,,,,,
Sterna antillarum ,,P,,,,,,,,
Sterna elegans ,A,,,,,,,,,
Pandion haliaetus ,A,A,,,,,,,,
Phaethon  aethereus ,A,A,,,,,,,,
Phoenicopterus  ruber ,A,A,,,,,,,,
Pterodroma cooki ,P,P,,,,,,,,
Puffinus auricularis ,A,A,,,,,,,,
Puffinus creatopus ,,P,,,,,,,,
Puffinus pacificus ,,A,,,,,,,,
Puffinus opisthomelas ,A,A,,,,,,,,
Aramides axillaris ,Pr,Pr,,,,,,,,
Aramides cajanea ,Pr,Pr,,,,,,,,
Amaurolimnas  concolor ,A,A,,,,,,,,
Cichlasoma intermedium,,P,,,,,,,,
Cichlasoma urophthalmus,,P,,,,,,,,
Coturnicops noveboracensis ,A,,,,,,,,,
Laterallus jamaicensis ,Pr,Pr,,,,,,,,
Laterallus ruber ,Pr,Pr,,,,,,,,
Porzana  flaviventer ,Pr,Pr,,,,,,,,
Rallus  elegans ,Pr,Pr,,,,,,,,
Rallus  longirostris  levipes,P,P,,,,,,,,
Rallus  longirostris  pallidus,Pr,Pr,,,,,,,,
Rallus  longirostris  yumanensis,P,P,,,,,,,,
Rallus  longirostris grossi,,Pr,,,,,,,,
Rallus  elegans  tenuirostris,,P,,,,,,,,
Rhamdia guatemalensis,,A,,,,,,,,
Rhamdia guatemalensis sacrificii,,P,,,,,,,,
Salmo nelsoni ,Pr,,,,,,,,,
Numenius  borealis ,P,P,,,,,,,,
Sula leucogaster ,A,,,,,,,,,
Sula nebouxii ,A,A,,,,,,,,
Sula sula ,A,A,,,,,,,,
Synthliboramphus hypoleucus ,,A,,,,,,,,
Synthliboramphus craveri ,,A,,,,,,,,
Scutellastra mexicana,,Pr,,,,,,,,
Scaphirhynchus platorynchus,,P,,,,,,,,
Creaseriella anops,A,A,,,,,,,,
Antromysis cenotensis,A,A,,,,,,,,
Limulus polyphemus,A,P,,,,,,,,
Plexaura homomalla,P,Pr,,,,,,,,
Plexaurella dichotoma,A,Pr,,,,,,,,
Antipathes bichitoea,P,Pr,,,,,,,,
Antipathes grandis,P,Pr,,,,,,,,
Antipathes ulex,P,Pr,,,,,,,,
Acropora cervicornis,A,Pr,,,,,,,,
Acropora palmata,A,Pr,,,,,,,,
Spondylus calcifer,P,Pr,,,,,,,,
Atrina maura,P,,,,,,,,,
Pinctada mazatlanica,P,Pr,,,,,,,,
Pinna rugosa,P,,,,,,,,,
Priapella olmecae,,A,,,,,,,,
Priapella intermedia,,A,,,,,,,,
Polymesoda caroliniana,,Pr,,,,,,,,
Potamarius nelsoni,,Pr,,,,,,,,
Pteria sterna,P,Pr,,,,,,,,
Chionopsis gnidia,P,,,,,,,,,
Crucibulum scutellatum,P,Pr,,,,,,,,
Purpura patula pansa,P,Pr,,,,,,,,
Cyprinodon labiosus,,A,,,,,,,,
Cyprinella lutrensis,,A,,,,,,,,
Ancistromesus mexicana,P,,,,,,,,,
Astyanax aeneus,,A,,,,,,,,
Astyanax mexicanus,A,,,,,,,,,
Lucania interioris,P,P,,,,,,,,
Poecilia velifera,P,A,,,,,,,,
Poecilia butleri,,A,,,,,,,,
Poeciliopsis latidens,,A,,,,,,,,
Typhiliacina pearsei,P,P,,,,,,,,
Totoaba macdonaldi,P,P,,,,,,,,
Tivela stultorum,,Pr,,,,,,,,
Istichopus fuscus,,P,,,,,,,,
Isognomon alatus,,Pr,,,,,,,,
Gasterosteus aculeatus,,Pr,,,,,,,,
Gobiesox mexicanus,,Pr,,,,,,,,
Gambusia affinis,,P,,,,,,,,
Xiphophorus milleri,,P,,,,,,,,
