rgn_id,habitat,year,km2
1,mangrove,2015,2896.112355
1,mangrove_inland1km,2015,445.119692
1,mangrove_offshore,2015,100.316324
2,mangrove,2015,2896.112355
2,mangrove_inland1km,2015,445.119692
2,mangrove_offshore,2015,100.316324
3,mangrove,2015,2896.112355
3,mangrove_inland1km,2015,445.119692
3,mangrove_offshore,2015,100.316324
4,mangrove,2015,2896.112355
4,mangrove_inland1km,2015,445.119692
4,mangrove_offshore,2015,100.316324
5,mangrove,2015,2896.112355
5,mangrove_inland1km,2015,445.119692
5,mangrove_offshore,2015,100.316324
