rgn_id,year,usd
1,1998,421215e6
1,2002,649076e6
1,2003,700325e6
1,2004,759777e6
1,2005,848947e6
1,2006,952276e6
1,2007,103593e7
1,2008,109448e7
1,2009,879703e6
1,2010,103527e7
1,2011,115334e7
2,1998,421215e6
2,2002,649076e6
2,2003,700325e6
2,2004,759777e6
2,2005,848947e6
2,2006,952276e6
2,2007,103593e7
2,2008,109448e7
2,2009,879703e6
2,2010,103527e7
2,2011,115334e7
3,1998,421215e6
3,2002,649076e6
3,2003,700325e6
3,2004,759777e6
3,2005,848947e6
3,2006,952276e6
3,2007,103593e7
3,2008,109448e7
3,2009,879703e6
3,2010,103527e7
3,2011,115334e7
4,1998,421215e6
4,2002,649076e6
4,2003,700325e6
4,2004,759777e6
4,2005,848947e6
4,2006,952276e6
4,2007,103593e7
4,2008,109448e7
4,2009,879703e6
4,2010,103527e7
4,2011,115334e7
5,1998,421215e6
5,2002,649076e6
5,2003,700325e6
5,2004,759777e6
5,2005,848947e6
5,2006,952276e6
5,2007,103593e7
5,2008,109448e7
5,2009,879703e6
5,2010,103527e7
5,2011,115334e7
