rgn_id,year,percent
1,1998,3.57334217
1,2003,2.96391887
1,2004,3.66038881999999
1,2005,3.50611573
1,2006,3.16256479
1,2007,3.39481339
1,2008,3.50987211
1,2009,5.17993799
1,2010,4.94827796440001
2,1998,3.57334217
2,2003,2.96391887
2,2004,3.66038881999999
2,2005,3.50611573
2,2006,3.16256479
2,2007,3.39481339
2,2008,3.50987211
2,2009,5.17993799
2,2010,4.94827796440001
3,1998,3.57334217
3,2003,2.96391887
3,2004,3.66038881999999
3,2005,3.50611573
3,2006,3.16256479
3,2007,3.39481339
3,2008,3.50987211
3,2009,5.17993799
3,2010,4.94827796440001
4,1998,3.57334217
4,2003,2.96391887
4,2004,3.66038881999999
4,2005,3.50611573
4,2006,3.16256479
4,2007,3.39481339
4,2008,3.50987211
4,2009,5.17993799
4,2010,4.94827796440001
5,1998,3.57334217
5,2003,2.96391887
5,2004,3.66038881999999
5,2005,3.50611573
5,2006,3.16256479
5,2007,3.39481339
5,2008,3.50987211
5,2009,5.17993799
5,2010,4.94827796440001
