rgn_id,year,a_prot_3nm
1,2000,14251.75
1,2001,14251.75
1,2002,14394.75
1,2003,14394.75
1,2004,14396
1,2005,17595.5
1,2006,18039.25
1,2007,20752.75
1,2008,22082.25
1,2009,22606.25
1,2010,22606.75
1,2011,22607
1,2012,22809.75
1,2013,22809.75
1,2014,22809.75
1,2015,22809.75
1,2016,26842.25
1,2017,26842.25
2,2000,14251.75
2,2001,14251.75
2,2002,14394.75
2,2003,14394.75
2,2004,14396
2,2005,17595.5
2,2006,18039.25
2,2007,20752.75
2,2008,22082.25
2,2009,22606.25
2,2010,22606.75
2,2011,22607
2,2012,22809.75
2,2013,22809.75
2,2014,22809.75
2,2015,22809.75
2,2016,26842.25
2,2017,26842.25
3,2000,14251.75
3,2001,14251.75
3,2002,14394.75
3,2003,14394.75
3,2004,14396
3,2005,17595.5
3,2006,18039.25
3,2007,20752.75
3,2008,22082.25
3,2009,22606.25
3,2010,22606.75
3,2011,22607
3,2012,22809.75
3,2013,22809.75
3,2014,22809.75
3,2015,22809.75
3,2016,26842.25
3,2017,26842.25
4,2000,14251.75
4,2001,14251.75
4,2002,14394.75
4,2003,14394.75
4,2004,14396
4,2005,17595.5
4,2006,18039.25
4,2007,20752.75
4,2008,22082.25
4,2009,22606.25
4,2010,22606.75
4,2011,22607
4,2012,22809.75
4,2013,22809.75
4,2014,22809.75
4,2015,22809.75
4,2016,26842.25
4,2017,26842.25
5,2000,14251.75
5,2001,14251.75
5,2002,14394.75
5,2003,14394.75
5,2004,14396
5,2005,17595.5
5,2006,18039.25
5,2007,20752.75
5,2008,22082.25
5,2009,22606.25
5,2010,22606.75
5,2011,22607
5,2012,22809.75
5,2013,22809.75
5,2014,22809.75
5,2015,22809.75
5,2016,26842.25
5,2017,26842.25
