rgn_id,year,product,weight
1,2013,corals,8.91978e-4
1,2013,fish_oil,0.903950849
1,2013,ornamentals,0.003344919
1,2013,seaweeds,0.061146654
1,2013,shells,0.030627153
1,2013,sponges,3.84e-5
2,2013,corals,8.91978e-4
2,2013,fish_oil,0.903950849
2,2013,ornamentals,0.003344919
2,2013,seaweeds,0.061146654
2,2013,shells,0.030627153
2,2013,sponges,3.84e-5
3,2013,corals,8.91978e-4
3,2013,fish_oil,0.903950849
3,2013,ornamentals,0.003344919
3,2013,seaweeds,0.061146654
3,2013,shells,0.030627153
3,2013,sponges,3.84e-5
4,2013,corals,8.91978e-4
4,2013,fish_oil,0.903950849
4,2013,ornamentals,0.003344919
4,2013,seaweeds,0.061146654
4,2013,shells,0.030627153
4,2013,sponges,3.84e-5
5,2013,corals,8.91978e-4
5,2013,fish_oil,0.903950849
5,2013,ornamentals,0.003344919
5,2013,seaweeds,0.061146654
5,2013,shells,0.030627153
5,2013,sponges,3.84e-5
